review_id,product_id,customer_id,rating,review_date
1,2,1,5,"2024-06-27"
2,7,3,4,"2024-06-26"
3,11,5,3,"2024-06-25"
4,1,8,5,"2024-06-24"
5,18,10,4,"2024-06-27"
6,22,14,5,"2024-06-26"
7,4,15,3,"2024-06-25"
8,27,17,4,"2024-06-24"
9,3,19,5,"2024-06-27"
10,16,20,4,"2024-06-26"
11,9,22,3,"2024-06-25"
12,21,23,5,"2024-06-24"
13,32,2,4,"2024-06-27"
14,14,4,3,"2024-06-26"
15,25,6,5,"2024-06-25"
16,31,8,4,"2024-06-24"
17,5,11,5,"2024-06-27"
18,20,12,3,"2024-06-26"
19,29,13,4,"2024-06-25"
20,36,16,5,"2024-06-24"
21,10,18,4,"2024-06-27"
22,30,21,3,"2024-06-26"
23,37,24,5,"2024-06-25"
24,6,25,4,"2024-06-24"
25,15,27,5,"2024-06-27"
26,26,28,3,"2024-06-26"
27,33,30,4,"2024-06-25"
28,8,20,5,"2024-06-24"
29,17,1,4,"2024-06-27"
30,34,2,3,"2024-06-26"
31,24,3,5,"2024-06-25"
32,12,5,4,"2024-06-24"
33,23,6,5,"2024-06-27"
34,38,8,3,"2024-06-26"
35,7,9,4,"2024-06-25"
36,19,10,5,"2024-06-24"
37,35,12,4,"2024-06-27"
38,28,14,3,"2024-06-26"
39,11,15,5,"2024-06-25"
40,40,17,4,"2024-06-24"
41,2,19,5,"2024-06-27"
42,13,20,3,"2024-06-26"
43,41,22,4,"2024-06-25"
44,39,23,5,"2024-06-24"
45,4,24,3,"2024-06-27"
46,20,25,4,"2024-06-26"
47,37,27,5,"2024-06-25"
48,1,28,4,"2024-06-24"
49,32,30,5,"2024-06-27"
50,14,16,3,"2024-06-26"
51,25,1,4,"2024-06-25"
52,42,2,5,"2024-06-24"
53,5,3,3,"2024-06-27"
54,26,5,4,"2024-06-26"
55,33,6,5,"2024-06-25"
56,8,8,4,"2024-06-24"
57,17,9,3,"2024-06-27"
58,34,10,5,"2024-06-26"
59,24,12,4,"2024-06-25"
60,12,14,3,"2024-06-24"